age,gender,height,weight,bodyfat,diastolic,systolic,sitandbend,situps,broadjump,gripforce
27,0,162,63.1,20.3,67,127,26.9,50,185,29.3
40,1,178.9,77.3,26,99,159,21.9,43,221,39.8
21,1,173.6,74.1,15.6,63,159,22.7,52,214,43.9
32,0,162.4,53,23.1,82,135,9.4,35,171,28.1
54,0,150.7,54,33,80,131,13.1,27,123,24.6
27,1,174.3,86.6,20.4,84,138,10.6,46,231,54.3
47,1,172.2,72.7,27.1,82,138,14.7,36,213,42.1
23,1,178.4,68,11.2,70,129,8.4,48,225,45.8
25,0,158.1,49.6,26.2,83,129,21.5,29,164,25.4
44,1,173.8,72,18.6,93,152,18,48,223,43.3
48,1,170,70.3,13.9,90,111,24.6,56,248,46.6
21,0,172.7,61,24.6,70,108,20.8,56,178,27.2
26,1,183.6,81,16.1,76,145,13.8,61,256,38.8
24,0,168.1,60.7,24.9,82,130,15.9,33,188,26.1
43,0,159.6,63.8,38.1,69,110,24.1,12,130,24.1
59,0,158.8,61.3,32.7,70,138,19.2,13,120,24.1
38,0,169.8,58.8,26,82,123,19,26,128,25.4
25,1,172.7,74,26.9,87,142,14.1,45,212,34.2
40,0,156.2,64.5,33.6,82,114,0.1,21,171,25.6
29,0,164.6,53.6,21.3,60,114,23.3,41,162,29.5
24,1,183.1,83.6,11.6,78,143,15.2,50,262,53.9
26,0,160.7,56.6,19.3,75,120,23.8,59,173,24.2
23,0,164,72.9,40.4,80,117,21.3,32,146,24.6
30,1,174,78.8,20,80,120,17.2,45,222,54.4
45,1,172.4,91,35.9,97,149,2.1,19,154,32.9
24,1,175,65,18.4,73,122,12.5,45,226,46.7
22,0,160.3,58.84,33.7,74,112,4.7,44,152,27.1
41,1,175.8,71.3,14.5,80,137,23.4,48,234,42.5
21,1,166.4,93.3,35.9,93.3,108,20.3,36,218,46.8
25,0,155.7,59,29.7,81,120,2.9,30,150,26.2
42,1,179.8,80,19.1,86,137,22.2,51,239,47.8
35,1,171,71.6,24.6,81,129,4.8,46,213,41
23,1,174.7,72,20.1,73,133,8.4,54,206,38.6
28,1,168.7,67.5,17.6,70,156,6.4,46,200,38.4
41,1,165.7,61,22.1,96,120,-2.7,28,158,44.8
33,1,180.3,83.3,20.4,78,136,16.3,52,239,51.8
42,0,167.2,67.7,31.4,79,130,13,26,187,31.1
25,1,171.4,71.4,24.4,64,118,16.5,59,205,40.1
27,0,163.4,62.9,30.3,79,120,24,24,166,31.6
57,0,156.7,61.1,31.1,84,136,15.1,24,105,23.7
35,1,177.8,77,19,76,126,10.1,45,246,43
28,1,179.1,78.6,25.1,93,159,12.6,50,223,42.3
45,0,162,51.4,27.9,79,128,27,35,135,24.3
30,1,172,73,24.1,68,114,17.5,50,200,41.6
24,1,167.2,58.1,16.7,86,143,5.9,41,151,26.8
47,1,166.3,67.4,24.1,83,131,6,38,181,44.6
45,1,167.4,63.8,19.08869,80,136,20,60,199,37.4
30,1,175.9,66.2,14.9,74,121,21.4,52,225,47.3
50,0,163.2,54.5,23.5,72,113,23.5,5,100,22.3
23,1,169.1,66.1,14.4,61,108,8.5,43,225,33.8
25,1,162.2,65.3,18.3,96,139,21.5,57,221,44.3
49,1,173.3,70,14.2,75,134,12.3,38,199,51.2
51,0,156.8,60.7,30.1,91,152,20.2,13,137,28.8
38,1,175.6,75.1,10.8,99,149,17.5,59,215,46.1
46,0,160.8,55.9,28.2,79,130,18.2,26,159,21.2
45,1,167.2,72.48,25.6,86,138,24.2,43,219,40.1
59,1,176.9,80.8,24.3,73,129,13.2,38,194,44.1
27,1,171.6,78.88,20.1,69,129,23.9,69,248,40.1
21,1,181.3,96.2,32,99,153,5.2,25,189,39.4
29,1,168.4,71.9,19.9,72,124,20.4,47,223,46.4
59,0,158.6,59.9,32.9,70,117,22.6,24,135,27.5
58,0,168.4,59,23.4,65,119,23.9,28,130,26.3
55,0,153.6,52.8,28.6,75,119,18,24,155,29.1
47,0,164.7,65.3,31.4,84,134,18.8,17,150,25.9
48,0,153.9,52.76,36.3,66,122,7.3,10,147,20.9
51,1,163.9,59.8,18.8,77,124,21.2,49,190,46.3
31,0,168.9,64.6,23.3,72,126,29.3,34,200,36.8
25,1,178.9,81.4,21.1,90,154,13.9,50,230,45.6
23,0,153.6,46.14,30.5,66,124,12.9,33,153,16.1
33,1,177.3,75.4,12.3,85,144,14.6,62,241,57.5
48,1,168.2,71.9,23.3,90,160,25,32,217,50.9
64,1,166,63.32,23.8,81,156,11.2,33,162,34.1
24,1,176.3,73.7,13.7,93,152,14.6,46,226,45.8
27,1,175.2,75.2,27.6,83,132,6,35,172,41.5
42,1,172.4,69.9,23.2,85,137,18.5,40,215,42.6
21,1,180.1,79.2,16.8,58,136,3.2,47,183,30.4
37,1,173,72,25.9,89,148,18.9,52,243,44
29,1,175,70.1,12.3,78,128,15.3,52,250,44.1
60,1,168.5,79.6,24.3,88,143,15.7,40,170,40.7
23,0,165.4,64,36.9,74,124,12.9,30,148,32.4
35,0,160.7,58.4,31.5,66,120,20.4,27,150,24.1
61,0,159.8,53.3,23.8,80,128,29.5,39,169,33.5
26,1,171.2,60.4,13.6,77,124,13,45,231,41.3
27,1,169.3,71.02,23,83,135,13.6,42,198,37.3
58,1,167.6,68.4,17,84,133,9.8,32,185,40.1
28,0,166,61,29.2,73,124,7.2,21,153,20.8
50,1,172.7,78.3,24.5,92,126,10.1,27,199,34.2
31,0,165.3,51.2,20.5,65,115,20.6,32,156,23.4
24,1,162.6,58.1,12.7,76,133,20.5,59,242,41.8
53,1,169.9,62.8,12.8,71,118,17.7,47,200,49
49,0,166.7,58.6,22.4,99,134,20.2,27,124,25.2
28,1,174.7,80.8,22.1,71,130,-0.8,48,228,48.8
40,0,167.8,51.7,18.9,74,122,23.4,39,182,29
35,1,174.1,75.9,20.7,87,143,7.2,37,183,41.3
43,1,174.2,77.6,21.1,89,143,22.4,63,240,43.6
38,1,168.2,75.4,21.2,86,150,10.9,43,221,26.4
46,1,177.5,80.5,26.6,94,146,6.6,25,196,49.2
40,1,176,70.7,15.9,80,129,15,48,218,43.5
23,1,167,74,23.8,89,133,21,62,211,41.6
23,0,168.1,57.3,27.5,64,116,-7.2,29,126,17.5
61,1,176.9,74.68,20.2,80,120,15.2,26,189,54.1
28,0,163,60.9,30,53,112,27.1,44,188,32.8
42,1,171.3,79.04,33.8,80,120,-11.1,32,185,44.2
27,1,179.3,67.5,17.5,65,121,18.2,62,242,50.1
36,1,174.6,82.1,27.1,84,127,-2,28,227,46
22,1,177.2,73.4,17.9,78,141,10.6,55,223,50.9
34,1,179.7,78.5,18.6,85,121,9.7,40,232,42.8
39,1,177.3,70.4,20.7,77,120,17.7,59,240,37.9
36,1,170.8,70.4,18.5,72,127,22,49,225,43.1
27,1,173,72.8,8.4,62,127,14.1,64,232,43.3
29,1,184.5,88.1,21.3,74,118,26.5,50,250,49.4
21,0,166.1,61.2,19.2,71,137,29.1,61,213,29.8
24,1,164,63.3,20.8,72,128,8,43,203,40.6
34,0,155.4,54,30.7,92,131,26.6,22,148,23.6
26,0,159.3,59.4,33.8,82,121,25.3,45,166,26.6
24,1,168.7,62.32,15.8,72,129,11.4,61,228,37.5
21,1,172.1,77.3,21.4,96,158,20.6,52,220,53.1
27,1,178.1,66.4,5.5,66,124,23.6,56,265,39.2
55,0,166.9,60.9,26.1,78,117,17.7,13,131,21.1
47,0,165.9,58.8,23.9,73,119,25.3,30,160,24.2
42,0,158,76.8,41.1,80,117,5.9,1,133,33.9
51,0,153.1,52.7,29.3,71,107,22.7,27,144,23.4
43,0,167,54.9,17.4,66,109,21.5,39,180,28.4
29,0,172,54.3,20.5,78,122,18.2,37,185,26.5
61,0,147.5,52.2,36.2,82,158,19.3,20,122,19.5
37,0,161.6,52.7,22.6,76,115,23.6,31,173,23.9
41,0,165,52.4,19.7,83,132,29.3,35,170,21.9
29,1,156.7,77,35.4,94,142,18.8,30,215,46.3
60,1,170,65.1,15,77,136,15.5,34,214,52.6
22,1,184,80.4,11.9,60,129,15.8,43,187,42.4
30,0,160.3,51.5,27.6,48,103,23,26,168,25
33,1,180.2,68.4,14.5,77,127,16.2,49,232,44
24,1,169,67.5,13.8,75,157,22.9,61,242,41.4
22,1,179,84.2,27.4,90,143,16.1,56,229,53.2
27,0,170.8,59.72,23.2,79,136,20.9,40,167,29.2
48,1,174.8,74.4,20.5,68,130,9.6,42,193,42.6
64,0,152.7,59.8,29.5,60,110,23.7,12,134,21.1
32,0,156.3,61.7,29.7,88,124,21.7,41,165,27.7
54,1,163.7,69.4,24.5,83,123,14,30,180,39.9
32,1,173.9,77.5,18.2,77,138,11.1,62,229,47.3
24,0,169.4,72.8,43.6,89,133,18.7,33,143,30.7
40,1,170.5,70.4,21.6,79,134,10.3,38,230,39.7
33,1,168.3,63.8,17.4,81,125,2.5,45,205,40.6
28,1,166.1,71,30.8,89,142,-6,33,167,41.9
58,0,150.3,66.3,37.8,82,120,12.8,18,140,12.9
24,1,174.9,77.3,17.4,77,139,22.1,46,225,55.5
31,0,162.3,46.2,26.2,97,131,14,39,163,21.6
22,0,161.2,57.9,24.3,65,114,23.6,53,180,26.8
50,0,166.4,67.7,29.4,83,140,11.4,30,160,23.9
59,1,174.5,77.4,31.4,97,158,11.5,23,168,36.9
29,1,176.8,79.6,15.1,92,154,18.8,59,241,62.6
53,0,156,54.4,31.9,88,136,4.5,21,159,25.7
59,0,155.4,51,26.2,70,110,15.3,29,123,25.3
30,1,176.3,64.7,13.09016,84,146,19.9,54,226,46.8
26,1,179.4,77.56,18,71,128,16.7,54,217,44.6
25,0,156.1,49.7,18.1,67,118,20.4,35,152,31.7
34,1,176.3,79.1,20,86,140,12.8,42,207,43.2
27,1,179.2,78.26,21.6,79,140,-3.2,39,199,46.9
36,1,166.5,75.5,8.7,77,131,11.1,58,245,51.4
27,1,166.1,76,21.2,80,133,20.9,58,240,46.5
43,0,159.6,71.9,37.5,92,153,11.5,12,155,10.1
60,0,154.8,47,29.3,81,137,28.7,15,150,21.9
21,1,168.9,64,22.1,85,140,9.2,57,218,34.6
25,1,176.6,68.7,15.5,68,131,7.8,60,236,35.6
21,1,168.6,58.9,12.6,87,116,16.9,44,217,30.2
47,1,173.7,66.6,16.5,94,158,7.7,39,207,38
29,0,164,53.9,20.3,70,116,19.4,49,194,31.3
24,1,164.9,57.4,14.2,81,154,13.9,45,226,37.1
33,1,174,74.7,23.8,80,154,6.4,49,213,42.2
36,0,162.5,57.8,27.6,99,158,19.5,43,183,29.4
23,1,168.6,74.3,18.3,77,135,8.1,57,220,47.4
29,1,175.8,75.2,17.7,74,149,21.8,44,246,36.9
32,1,175,59.7,15.2,75,131,12.2,47,214,36.8
26,1,177.5,77.84,19.5,66,130,20.3,60,242,49.2
58,0,155,49.4,32.1,72,130,18.1,30,133,23
60,1,177.6,69.3,28.3,81,159,11.3,29,146,38.8
31,1,169.6,78.9,22.8,95,120,11.5,52,219,46.3
25,0,164.2,56,29.5,61,114,21.6,28,159,27.1
25,1,174.8,70.5,12.6,71,108,22.5,64,275,58.4
21,1,172.9,73.6,21,81,128,11.4,52,214,39
45,0,160.9,80.9,47.7,80,128,-4.5,2,86,28.4
27,1,175.9,64.9,18.1,69,129,18.5,58,211,49.6
37,0,160.5,74.9,36.4,93,126,17.8,18,161,33.9
36,0,156.1,67.6,35.9,91,159,12.4,24,156,27.5
25,1,171.4,73.9,10.2,68,136,27.6,60,269,51.9
32,1,172.2,70.5,20.2,76,127,15.7,46,207,50.2
23,0,163.7,58,25.6,62,103,22.1,43,182,28.5
43,0,164.1,64.7,30.3,68,114,13.5,27,174,26.7
60,1,168.2,66.9,24.4,81,155,22.6,31,194,40.3
29,0,159,49.6,33.1,80,120,10.5,26,138,23.4
46,1,176.8,89.5,25.7,89,145,-0.7,49,211,43.5
26,0,159.3,50.5,23.4,80,118,24.4,30,138,27.9
34,1,172,69.4,13.88621,92,144,15.4,64,257,44.9
53,1,166.4,55.8,17.2,80,126,14.3,25,203,31.4
30,1,170.2,69.6,16.4,86,130,9.7,45,191,44.7
32,1,173.6,68.5,16.5,79,138,25.8,60,229,44.8
27,1,178,85.7,20,94,143,23.3,54,209,52
29,1,173.7,87.5,19.8,58,105,12.5,47,240,67.1
24,0,169.1,50.4,25.9,61,116,33.3,26,182,21.4
53,0,157,63.3,31.8,82,130,11.1,18,153,24
25,0,163.1,60.9,31.2,72,119,24.9,40,163,25.8
28,1,170.5,70.4,17.1,83,144,19.2,52,223,39.4
61,0,155.4,59.8,38.7,89,147,19.1,2,119,25.3
35,1,172.3,72.3,28.3,80,120,19.1,47,215,42.8
28,1,174.2,70,11.7,78,117,18.2,60,245,41.1
50,1,170,64.5,20.5,80,118,7.6,33,155,39.6
52,1,170.8,67.9,21.5,82,137,9.4,32,210,44.2
23,1,177.3,76.6,23.3,73,125,17.6,44,180,34.3
28,0,157.4,48.6,19.6,71,120,18.5,39,169,32.3
44,1,170.4,71,19.7,79,141,11,50,225,51
31,1,181.4,85.4,24.7,78,138,12.9,63,226,48.5
37,0,164.8,72.7,31.4,52,101,25,38,155,32.2
41,1,170.3,69.2,24.4,97,151,14.5,43,217,43.1
33,1,171,79.3,21.1,91,139,15.3,58,216,50.6
34,1,173.6,72.3,19.8,78,138,16.2,40,208,52
24,0,166.8,43.8,23.1,80,110,24.6,34,187,23.6
26,1,172,74.9,26.3,72,121,21.1,62,207,40.3
40,1,169.1,74.6,22.1,65,115,7.8,48,214,16.7
39,1,170.6,76.54,22,80,120,13.9,43,218,48.4
21,0,159.5,48.4,24.5,73,120,25.1,42,180,23.4
27,1,171.4,74.9,24.4,76,137,16,36,212,51.4
64,1,163.9,58.4,19.1,81,131,-13.3,24,168,31.1
53,0,150.7,47.6,28.7,79,128,10.9,10,119,22.9
26,0,154.9,58.92,31.8,99,147,19.6,43,133,30.3
58,0,146.2,51.7,3.5,48,152,15.4,13,110,25.1
34,0,162.5,46.7,18.4,61,125,17.1,26,145,18.7
41,0,164.4,62.7,28,91,146,19,30,180,33.9
57,1,174.3,78.1,17.9,74,137,10,42,199,48.1
34,1,182.1,79.1,22.9,75,125,9.9,35,204,40.8
43,0,166.4,59.2,34.1,91,134,-1,22,130,23.1
22,1,168,55.1,6.2,90,131,27.4,60,230,39.8
26,1,179,81.6,18.1,88,158,13.3,51,237,57.6
21,1,175.8,78.8,19.7,61,110,19.6,51,230,54.2
64,0,158.6,60.2,33.7,67,131,17.2,6,138,24
39,0,155.5,52.8,30.9,99,130,14.7,22,150,24
61,1,162.1,71.7,27.8,87,144,22.8,37,200,36.2
39,1,167.1,65.1,15.5,87,135,14.3,34,214,34.9
55,1,167.2,76.1,31.7,96,144,5,23,177,41.8
23,1,170.8,74.1,20,65,116,21.2,48,255,46
37,0,158.7,61.74,38,76,130,21.5,30,147,26.5
27,1,172.6,64,19,87,148,6.3,39,199,29.9
37,1,169.8,63.1,22.2,76,137,6.6,48,229,46.4
21,0,163.1,53,28.3,69,124,26.6,33,138,20.3
34,1,172.6,68.2,21.2,97,155,26.1,51,217,46.4
28,1,177.2,81.2,17.5,84,141,11.7,56,226,48.4
21,1,173,81,26.4,70,130,6.1,41,195,47.2
22,1,173.8,92.5,24.5,91,157,16.5,60,215,51.2
64,0,144.1,54.8,37.4,76,136,3.4,0,60,17.5
46,1,171.6,55.5,14.6,88,147,14.5,43,210,45.2
21,0,156.8,48.08,22.3,74,107,20.4,28,162,23.1
21,0,159.6,45.9,25.8,76,118,20.7,45,194,23.7
57,0,159.3,55.6,31.1,64,115,4.8,15,139,23
22,1,176.8,59.66,13.2,86,147,6.2,49,198,37.2
27,1,179.3,74.5,20.6,86,118,22.6,55,240,46.6
55,1,162.1,69.3,24.9,81,147,22,30,190,35.1
60,1,167.4,63.2,16.4,90,146,11.9,31,185,38.3
28,0,158,49.1,24.2,84,134,10.6,26,185,28.3
44,1,170.1,64.3,19,82,143,14.4,29,221,45.3
41,0,160.6,58.8,24.4,79,139,22.1,37,161,34.4
24,0,159.6,42.54,26.1,52,99,15,43,165,20.2
26,1,179.7,75.8,20.5,93,154,16.4,52,234,60
28,1,175.5,73.1,23.4,78,128,12.6,41,227,46.1
31,0,167.1,59.2,26.6,73,113,14.4,22,138,27.3
27,0,158.6,56.52,30.9,74,117,19.2,35,180,32.8
49,0,154.1,50.7,26.7,90,121,20.5,34,151,24.2
32,1,179.9,77.7,15.2,66,126,17.3,60,208,55.6
49,0,165.5,62.2,36.8,69,112,16,26,130,24.6
35,1,175,83,24.7,81,138,15.4,51,206,35.3
26,1,170.3,72.8,15.3,75,123,17.2,58,266,48.1
23,1,165.6,63.3,18.1,67,126,28.6,52,186,40.4
25,0,148,46.2,23.2,83,121,16.2,33,168,21.7
57,1,171,78.1,29.1,98,152,10.5,17,163,36.2
30,1,170.2,62.5,14,74,138,21.9,59,238,42.6
28,1,181.7,91.76,11.7,86,156,21.1,58,245,60.1
46,1,170.9,74.36,19.6,96,135,7.3,39,209,51.4
39,0,167.1,64.48,18.4,74,125,29.4,33,143,21.7
26,1,172.9,71.4,14.4,81,143,18.3,58,260,50.3
25,1,171.6,71.1,19.2,83,120,19.6,60,247,53.9
33,1,174.4,76.8,26.9,95,155,17.6,47,235,49
24,1,178.4,71.8,15.1,99,138,10.7,54,251,46.6
25,1,181.8,80.9,31.1,92,130,14.5,41,245,33.5
27,1,170.1,100,37.7,94,143,3.8,12,156,34.8
26,0,158.3,53.1,26.5,87,139,22.2,42,161,19.1
25,1,168.7,74,21.4,82,130,14.1,45,158,39.7
46,1,171.8,55.8,11,76,118,14.1,41,216,38.6
44,0,154,65.1,36.4,84,130,23.9,0,112,27.9
23,0,160.7,62.4,30.2,64,110,19.4,44,132,23.3
21,0,161.7,55,22.4,64,109,21.6,48,190,22.9
29,1,184,81.8,8.5,68,131,22.1,62,248,54.8
26,1,166.1,66.5,16.3,66,116,17.5,55,210,43.1
38,0,169,53.3,19.8,76,102,28.1,32,149,23.1
48,1,176.9,78.1,17.8,88,141,14.2,46,237,48.7
51,1,178.9,81.4,21.8,89,156,11.7,29,207,49
37,1,167.4,84.5,35.4,82,108,2,36,200,38.8
42,1,169.1,69,21.5,90,143,18.2,34,206,44.7
63,1,175.2,75.4,24,91,158,12.1,31,162,48.5
31,1,175.3,96,28.2,76,138,18.6,50,226,53.4
35,1,163.8,66.1,17.3,76,127,18.8,65,202,42.4
32,0,164,51.4,31.2,82,124,20.4,25,130,20.1
62,1,161.2,63.8,25.9,95,158,15.8,37,162,36
48,0,160,54.8,27.8,72,135,16.3,22,153,18.9
24,1,181.1,97,26,82,122,17.5,58,231,53.5
26,1,181.4,106.2,36.9,85,126,-19,20,188,33.9
23,0,163.6,64,33,81,134,18.5,47,180,28.5
23,0,163.9,53.2,25.5,76,117,21.1,43,188,31.6
30,1,183.1,85.9,21.2,72,118,17.1,57,257,59
42,1,177.4,76.7,22.4,80,150,10.6,57,209,41
26,1,173.3,72.1,24.1,77,129,16.6,38,191,38.1
29,1,176.7,71.5,15.5,75,121,27.5,60,248,42.2
26,1,177.2,70.1,12.2,70,120,5.7,51,226,46.3
30,1,176.9,81.6,4.7,70,126,14,49,234,65
27,0,164.6,60.5,28.1,79,127,18.8,36,151,28.7
25,0,159.9,54.1,24.4,70,117,21.9,38,161,25.3
21,1,168.7,80.3,22.6,68,131,18.8,48,244,40.3
28,1,172.2,71.52,17,78,126,4.8,37,214,44.3
23,0,164.1,58.3,29.7,89,140,22.4,47,174,27.5
49,1,180.4,80.6,15.4,87,148,15.7,32,226,42.9
25,0,172.9,80.1,33.7,77,133,23.7,31,147,37.4
30,1,173.9,64.92,14.5,61,123,14.8,42,204,39.1
44,1,167,62,18.7,76,121,15.6,45,210,39
54,1,157.2,54,21.6,90,135,15.5,27,177,33.2
53,0,155,48,27,74,134,12.4,25,129,13.5
60,1,171.3,65.3,19.3,73,141,11.5,34,164,33.1
29,1,176.4,95.4,21.1,85,142,19.4,56,220,70.5
36,1,174.8,77.5,23.1,87,131,6.8,29,210,35.6
32,1,176.2,81.6,21,79,130,14.9,69,232,53.3
49,1,163,78.8,37.5,73,123,-14.7,0,84,23.6
32,1,172,82.66,15.1,82,144,11.1,45,228,46.5
23,1,179.3,75.7,20.2,86,158,8.1,54,209,47.2
29,1,172.9,78.1,21.3,80,132,12.6,43,194,44.2
55,1,162.4,64.38,21.2,85,143,10.1,28,124,39.3
23,1,175,91.5,32.5,69,137,2.4,30,200,43.4
22,0,161.8,56,21.8,63,109,21.4,62,185,27.5
55,0,160.2,54,26.3,90,135,23.3,20,149,28.4
51,1,170.8,70.1,24.1,85,122,18.4,41,213,38.9
39,0,163.3,61.8,23.5,79,134,22.8,35,175,30.7
22,1,183,83.9,24.4,93,149,1.7,45,217,39.1
22,1,170.2,78.6,22.6,77,123,14.6,57,210,45.4
24,1,171,75.6,25.5,92,145,-11.4,36,190,36.8
25,1,171.9,71.4,26.2,91,150,5.8,43,208,35.8
28,1,171.5,72.9,19.5,71,122,23,52,219,45.8
52,1,176.2,90.9,22.6,90,138,8.3,44,193,58.5
25,1,174.7,59.3,12,69,113,3.4,43,219,38.4
50,0,150.9,49.5,26.3,67,109,11.9,24,132,19.4
29,1,178.2,80.3,16.4,90,146,19.8,59,236,53.5
36,1,165.3,77.1,21.1,87,144,26.1,58,249,50
47,0,161.2,63,28.8,77,132,11.4,21,156,24.7
50,1,178.5,89.4,22.5,77,126,9.9,35,209,42.3
42,1,168.6,74.1,19.8,90,149,21.5,34,232,33.2
34,1,171.3,69,10,67,125,16.4,38,212,35.3
39,1,171.7,67.3,19.5,78,124,7.2,45,218,46.6
35,1,180.7,74.5,19.2,81,117,8.4,41,185,30.9
36,1,173.4,86.4,27.8,94,141,8.4,46,222,48.5
39,1,177,74.3,25.6,72,121,10.2,44,211,43.8
23,1,177.1,66,20.4,80,139,8,40,190,36.9
37,0,165.1,51.4,26.7,77,124,25.2,26,132,24.4
26,1,176.4,87.56,26,80,120,12.6,38,239,50.1
61,1,163.2,74.9,32.1,65,124,1.3,15,146,36
26,1,171.9,65.2,12.3,71,121,23,59,226,44.9
61,0,166.6,55.5,31.5,80,156,31.3,31,154,22.8
63,1,170.5,69.5,17.6,83,123,6.1,44,182,35.6
21,0,160.2,51,28.2,78,117,20.6,57,206,22.6
33,1,174.6,77.7,20.3,79,123,14.9,47,251,49.8
32,1,170.4,73.6,18.9,76,131,22.2,49,217,45.8
62,0,163.4,56.7,34.5,82,132,19.6,21,124,22.8
21,0,166.9,67.8,27.2,77,119,25.1,24,186,31.9
38,1,186,94.6,16.1,98,159,15,55,245,58.8
33,1,172.1,65.3,19.1,87,142,-12.1,37,183,37.9
21,0,153,44.7,30.5,74,115,28.3,47,152,21.1
37,0,152.2,49.2,24.92761,86,112,1.7,31,133,18.3
21,1,173.3,68,12.9,66,112,10.5,53,153,41
47,1,174.8,80.4,33,82,136,0.7,28,201,45.3
56,1,154.9,55.6,26.1,94,156,8.5,41,163,24.5
21,1,173.7,74.2,22.7,65,114,19.7,45,240,43.9
21,0,157.9,58.7,32,76,131,29.1,40,177,30.7
28,0,175,70.5,30,75,131,25.9,37,163,33.2
54,0,162.9,63.9,28.3,61,104,11.5,29,90,25.6
39,0,162.5,51.9,28.3,64,96,8.4,16,164,28.7
25,1,174.7,72.1,15.5,85,129,20.2,57,242,43.9
41,1,179,85.7,25.6,91,152,-10.4,26,189,48.7
25,1,171.7,70.3,24.5,89,151,6.7,53,204,36.1
31,1,171.5,67.1,19.2,91,146,17.8,51,214,41
45,1,182.5,80.5,19.8,86,139,6.2,36,235,48.3
25,1,178,74.8,19.1,70,118,16.4,59,225,44.6
30,1,173.9,76.64,20.8,68,119,25.9,59,247,50
23,0,157.9,52.2,34.1,75,102,15.8,25,100,27.6
26,0,167.2,58.16,20.9,87,126,20.5,36,155,32.6
23,0,172.4,86.9,40.5,61,111,8.4,30,152,29.2
24,1,175.9,85.3,22.7,91,138,14.6,58,220,56.4
56,1,172.1,65.7,22.5,90,140,18.2,35,170,40.1
53,0,166.2,56.1,32.7,77,121,19.6,31,137,24.9
60,1,166.2,76.28,27.2,75,143,13.9,38,187,43.1
21,0,176.2,56.9,21.1,84,126,30,42,180,29.1
58,0,155.3,58.2,32,86,154,20.4,24,136,22.7
21,1,176.2,71.6,9.4,72,128,13,65,265,45.63
46,1,169.2,69.9,23.6,98,153,12,40,192,30
29,1,175.6,96.7,32.9,85,140,5.3,40,227,51.6
24,1,177.5,76.4,24.1,86,159,11.6,48,181,39.7
30,0,158.2,52.9,27.8,74,137,23.9,32,172,26.9
28,0,166.4,51.7,24.1,78,117,20.6,31,147,24
26,1,165.2,67.2,23.1,86,126,18.1,55,236,40.4
22,0,165.7,57,20.1,61,113,12.7,40,194,21.3
27,1,181.1,97.1,18.1,85,138,-18.4,39,167,39.7
34,0,147.8,46.5,30.7,58,114,18.7,24,68,18.7
60,1,176.5,83.6,24.4,58,138,7.2,31,180,40.5
23,0,165.4,47.4,18.4,56,99,20.8,36,202,25.7
30,1,178.3,78.7,18,73,139,15,43,233,48.6
34,1,176.7,83.6,25.6,81,129,-12.5,41,215,44.6
21,1,168.4,67.5,23.2,74,122,13.2,48,166,34
22,1,174.4,70.5,24.4,80,137,15.2,46,225,40.7
59,0,162.8,57.94,30.9,78,123,6.2,18,137,26.9
35,0,168.5,81.4,38.3,64,121,21.1,25,156,29.7
24,0,171.2,65.92,28.5,62,115,5.7,30,131,26.8
28,1,172.2,71.9,23,75,144,10.9,46,211,46.9
28,0,166.6,61,32.6,64,103,15.9,29,154,21.2
30,1,185.5,76.4,12.6,74,129,8.7,39,183,41
47,0,155.5,49.2,20.8,71,115,23.4,55,166,25.1
39,0,160.6,69.1,39.5,73,126,15.5,30,152,24.9
32,1,171.1,55.4,10.06304,80,134,15.4,49,229,40.5
39,0,164.9,52.3,15.7,53,91,12.7,32,185,22.2
33,1,169.3,75.4,21.7,77,136,9.2,43,209,37.6
30,1,184,87,19.6,82,126,17.5,52,252,57
24,0,158.3,52.3,32.8,72,120,18,43,170,26.6
60,1,159,64.8,26.3,78,123,13.9,31,185,40.3
26,0,169.9,53.72,18.3,65,123,14,45,205,20
44,0,170.3,76.5,30.3,83,123,16.5,12,140,39.2
21,1,177.7,63.4,12.1,71,132,13.5,53,230,40.2
58,1,175,73.8,22.2,74,120,9.5,33,197,45.1
22,1,187.3,109.3,39.3,79,141,17.5,1,211,36.2
28,1,177.7,83.2,18.2,94,143,16.7,59,226,46
31,1,176.5,85.4,32,96,159,3.7,44,175,46.2
22,1,171.4,59.9,14.9,75,136,9.4,50,199,37.8
28,1,164.6,70.8,20.8,94,135,15.5,56,212,48.2
23,0,163,63.9,27.9,75,125,29.5,43,174,31.5
50,0,159.9,59.5,25.2,84,140,25.8,32,170,28.7
42,1,180.5,79.8,23.6,91,137,-3.9,21,194,40.7
23,0,158.3,61.2,31.9,85,129,28.5,42,180,33.6
58,1,170.9,59.3,12.9,60,105,13.8,28,197,41.9
39,1,175.5,72.82,13.4,80,120,6.8,45,201,46.9
24,0,159.3,72.4,42.1,88,131,16.4,39,139,1.6
22,0,161.5,48.9,18.3,71,110,19.3,55,160,23
57,1,175.8,59.8,18.8,99,158,11.8,33,180,37.8
22,1,166.8,57.9,13,96,126,8.1,47,225,33
64,1,170,65.9,19.2,97,157,5.8,22,162,35.8
22,0,161.8,52.4,20.3,70,125,25.6,67,192,26.9
55,0,148.6,52.3,37.5,89,140,15,24,105,20.5
33,1,167.4,62,15.2,99,132,18,58,183,44.5
59,0,162.7,49,20.3,67,130,14.5,0,130,24.8
23,0,167.8,59.42,21.3,65,115,23.7,40,176,23.6
59,1,166.1,68.8,25.9,83,158,19.2,23,153,43.1
29,1,170.4,68,10.5,70,139,24.6,57,235,40.3
